nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2025-08-14T19:33:51Z,Shell,437,0,246,245
mui/material-ui,2014-08-18T19:11:54Z,2025-08-14T20:20:45Z,TypeScript,20774,547,20163,18545
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2025-08-14T20:19:40Z,,34,0,0,0
iptv-org/iptv,2018-11-14T22:00:57Z,2025-08-14T18:46:40Z,TypeScript,6664,0,14658,14201
rustdesk/rustdesk,2020-09-28T15:36:08Z,2025-08-14T20:20:52Z,Rust,3627,31,3609,3553
ant-design/ant-design,2015-04-24T15:37:24Z,2025-08-14T20:18:23Z,TypeScript,15749,713,31598,30368
tauri-apps/tauri,2019-07-13T09:09:37Z,2025-08-14T20:20:06Z,Rust,5143,1000,5752,4630
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2025-08-14T20:05:21Z,Jupyter Notebook,376,0,176,165
nvbn/thefuck,2015-04-08T15:08:04Z,2025-08-14T18:20:27Z,Python,481,17,759,472
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2025-08-14T15:16:53Z,JavaScript,149,0,235,163
shadcn-ui/ui,2023-01-04T12:43:27Z,2025-08-14T20:22:19Z,TypeScript,636,52,3335,2366
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2025-08-14T18:00:59Z,Java,1507,0,959,830
pytorch/pytorch,2016-08-13T05:26:41Z,2025-08-14T20:22:31Z,Python,6191,61,53090,37649
Anduin2017/HowToCook,2020-02-29T10:43:49Z,2025-08-14T17:34:29Z,Dockerfile,586,4,780,346
neovim/neovim,2014-01-31T13:39:22Z,2025-08-14T19:47:22Z,Vim Script,16087,45,13098,11454
puppeteer/puppeteer,2017-05-09T22:16:13Z,2025-08-14T19:21:59Z,TypeScript,5410,557,7211,6948
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2025-08-14T20:16:44Z,JavaScript,514,0,330,242
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,2025-08-14T20:24:31Z,,9,1,628,568
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2025-08-14T20:18:59Z,Vue,311,49,3609,2357
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2025-08-14T20:19:10Z,TypeScript,3069,290,4533,4455
fastapi/fastapi,2018-12-08T08:21:47Z,2025-08-14T20:19:45Z,Python,2732,208,3466,3417
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2025-08-14T19:58:33Z,,99,0,52,23
storybookjs/storybook,2016-03-18T04:23:44Z,2025-08-14T20:18:37Z,TypeScript,11470,1000,13680,11610
supabase/supabase,2019-10-12T05:56:49Z,2025-08-14T20:20:15Z,TypeScript,12884,22,4639,4401
openai/whisper,2022-09-16T20:02:54Z,2025-08-14T20:22:04Z,Python,119,13,0,0
