nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
spring-projects/spring-framework,2010-12-08T04:04:45Z,2025-08-19T16:25:35Z,Java,870,341,27095,26815
meta-llama/llama,2023-02-14T09:29:12Z,2025-08-19T19:57:31Z,Python,53,0,1096,652
scrapy/scrapy,2010-02-22T02:01:14Z,2025-08-19T17:15:14Z,Python,2390,43,3179,2713
nuxt/nuxt,2016-10-26T11:18:47Z,2025-08-19T19:48:28Z,TypeScript,6896,256,16654,15879
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,2025-08-19T20:16:40Z,Python,660,22,863,853
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,2025-08-19T17:36:12Z,Shell,2306,0,272,66
gorhill/uBlock,2015-04-01T17:51:11Z,2025-08-19T17:23:14Z,JavaScript,252,277,3445,3432
FuelLabs/fuel-core,2020-08-27T21:12:14Z,2025-08-19T16:52:51Z,Rust,1553,123,1112,970
rails/rails,2008-04-11T02:19:47Z,2025-08-19T17:57:41Z,Ruby,25148,149,18193,17714
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,2025-08-19T19:57:41Z,JavaScript,790,34,1354,1346
Solido/awesome-flutter,2017-05-07T11:45:27Z,2025-08-19T19:44:05Z,Dart,444,0,0,0
nocodb/nocodb,2017-10-29T18:51:48Z,2025-08-19T19:59:13Z,TypeScript,5270,174,4233,3605
zylon-ai/private-gpt,2023-05-02T09:15:31Z,2025-08-19T17:31:40Z,Python,224,10,1213,961
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2025-08-19T16:11:50Z,JavaScript,302,0,191,81
hiyouga/LLaMA-Factory,2023-05-28T10:09:12Z,2025-08-19T19:18:31Z,Python,688,34,7315,6735
jgraph/drawio-desktop,2017-05-25T20:58:42Z,2025-08-19T16:56:29Z,JavaScript,20,159,1634,1571
soimort/you-get,2012-08-20T15:53:36Z,2025-08-19T13:00:56Z,Python,582,123,0,0
FiloSottile/mkcert,2018-06-25T05:33:03Z,2025-08-19T19:41:31Z,Go,52,14,344,239
traefik/traefik,2015-09-13T19:04:02Z,2025-08-19T19:40:52Z,Go,4697,481,6349,5707
git/git,2008-07-23T14:21:26Z,2025-08-19T18:07:18Z,C,3,0,0,0
PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,2025-08-19T17:00:23Z,,33,0,96,58
gatsbyjs/gatsby,2015-05-21T22:43:05Z,2025-08-19T19:59:27Z,JavaScript,18184,149,14119,13904
commaai/openpilot,2016-11-24T01:33:30Z,2025-08-19T19:39:00Z,Python,11766,57,3057,2929
vllm-project/vllm,2023-02-09T11:23:20Z,2025-08-19T20:11:57Z,Python,8625,72,10257,8457
azl397985856/leetcode,2018-03-30T09:13:51Z,2025-08-19T14:03:25Z,JavaScript,257,40,257,248
remix-run/react-router,2014-05-16T22:22:51Z,2025-08-19T19:59:30Z,TypeScript,3181,310,8139,8041
topjohnwu/Magisk,2016-09-08T12:42:53Z,2025-08-19T19:41:09Z,Kotlin,1613,151,6263,6226
ageitgey/face_recognition,2017-03-03T21:52:39Z,2025-08-19T17:11:22Z,Python,94,2,1370,595
ultralytics/yolov5,2020-05-18T03:45:11Z,2025-08-19T19:59:34Z,Python,2206,10,9430,9173
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,2025-08-19T20:03:01Z,Python,48,0,1101,896
AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,2025-08-19T19:59:39Z,Python,350,20,501,470
minio/minio,2015-01-14T19:23:58Z,2025-08-19T20:18:44Z,Go,9853,519,7807,7771
BurntSushi/ripgrep,2016-03-11T02:02:33Z,2025-08-19T19:52:55Z,Rust,516,72,1709,1578
deepfakes/faceswap,2017-12-19T09:44:13Z,2025-08-19T18:05:02Z,Python,357,4,881,847
toeverything/AFFiNE,2022-07-31T18:45:21Z,2025-08-19T20:12:00Z,TypeScript,8710,570,3010,2735
ElemeFE/element,2016-09-03T06:19:26Z,2025-08-19T11:18:23Z,Vue,3231,145,17863,15250
pmndrs/zustand,2019-04-09T09:10:06Z,2025-08-19T20:18:35Z,TypeScript,805,97,690,688
lencx/ChatGPT,2022-12-07T09:43:02Z,2025-08-19T15:58:24Z,Rust,123,34,1197,361
sharkdp/bat,2018-04-21T10:52:23Z,2025-08-19T20:09:46Z,Rust,1463,41,1516,1189
golang-standards/project-layout,2017-09-09T16:33:26Z,2025-08-19T20:04:06Z,Makefile,90,0,112,44
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,2025-08-19T16:35:45Z,,90,0,114,94
Textualize/rich,2019-11-10T15:28:09Z,2025-08-19T19:02:29Z,Python,836,170,1430,1223
necolas/normalize.css,2011-05-04T10:20:25Z,2025-08-19T20:00:17Z,CSS,56,0,517,461
Z4nzu/hackingtool,2020-04-11T09:21:31Z,2025-08-19T20:03:00Z,Python,56,0,373,321
psf/requests,2011-02-13T18:38:17Z,2025-08-19T18:26:05Z,Python,1591,14,4059,3860
maybe-finance/maybe,2024-01-01T22:23:46Z,2025-08-19T19:00:07Z,Ruby,1073,28,0,0
pi-hole/pi-hole,2014-06-08T15:02:55Z,2025-08-19T20:09:00Z,Shell,2106,118,3080,3043
withastro/astro,2021-03-15T17:19:47Z,2025-08-19T19:36:49Z,TypeScript,7322,1000,5561,5408
meilisearch/meilisearch,2018-04-23T11:45:28Z,2025-08-19T18:24:55Z,Rust,2147,266,2305,2095
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,2025-08-19T20:16:41Z,Python,2934,23,9882,9744
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,2025-08-19T18:35:51Z,C,16,0,0,0
appwrite/appwrite,2019-04-08T16:36:25Z,2025-08-19T20:20:00Z,TypeScript,3833,112,4085,3461
rclone/rclone,2014-03-16T16:19:57Z,2025-08-19T19:30:23Z,Go,2113,114,5787,4813
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,2025-08-19T19:39:14Z,Rust,1568,0,142,132
tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,2025-08-19T18:00:55Z,,129,0,71,48
ionic-team/ionic-framework,2013-08-20T23:06:02Z,2025-08-19T20:01:47Z,TypeScript,6298,913,22053,21481
google/material-design-icons,2014-10-08T18:01:28Z,2025-08-19T20:01:57Z,,50,16,1529,1159
wagoodman/dive,2018-05-13T15:44:01Z,2025-08-19T20:01:57Z,Go,164,28,359,202
mozilla/pdf.js,2011-04-26T06:32:03Z,2025-08-19T20:01:59Z,JavaScript,8089,76,10276,9873
facebookresearch/segment-anything,2023-03-23T17:03:03Z,2025-08-19T20:08:09Z,Jupyter Notebook,15,0,703,178
vuejs/core,2018-06-12T13:49:36Z,2025-08-19T20:15:14Z,TypeScript,3206,245,5770,5093
sickcodes/Docker-OSX,2020-06-04T11:01:37Z,2025-08-19T20:03:36Z,Shell,107,0,667,281
unclecode/crawl4ai,2024-05-09T09:48:50Z,2025-08-19T20:15:30Z,Python,87,8,790,647
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,2025-08-19T20:03:41Z,JavaScript,355,154,6235,5268
JetBrains/kotlin,2012-02-13T17:29:58Z,2025-08-19T19:15:46Z,Kotlin,2064,266,0,0
ngosang/trackerslist,2016-04-24T11:57:57Z,2025-08-19T20:04:55Z,,1,0,485,479
google/guava,2014-05-29T16:23:17Z,2025-08-19T20:04:58Z,Java,1013,56,3620,2992
marktext/marktext,2017-11-12T16:05:25Z,2025-08-19T20:14:40Z,JavaScript,939,36,2912,1637
laurent22/joplin,2017-01-16T21:49:41Z,2025-08-19T20:19:36Z,TypeScript,4387,384,7235,6697
prettier/prettier,2016-11-29T17:13:37Z,2025-08-19T20:05:36Z,JavaScript,8872,127,6956,5736
starship/starship,2019-04-02T03:23:12Z,2025-08-19T20:03:36Z,Rust,2898,135,2509,1772
romkatv/powerlevel10k,2019-02-24T19:09:45Z,2025-08-19T20:14:54Z,Shell,167,33,2572,2466
OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,2025-08-19T20:18:39Z,Python,4114,46,2245,2195
jekyll/jekyll,2008-10-20T06:29:03Z,2025-08-19T19:07:51Z,Ruby,3188,112,4897,4781
xai-org/grok-1,2024-03-17T08:53:38Z,2025-08-19T20:05:38Z,Python,5,0,0,0
TryGhost/Ghost,2013-05-04T11:09:13Z,2025-08-19T20:05:48Z,JavaScript,14258,902,7127,7066
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,2025-08-19T20:13:12Z,TypeScript,52097,1,8090,7523
go-gitea/gitea,2016-11-01T02:13:26Z,2025-08-19T20:05:54Z,Go,17771,216,14885,12295
RVC-Boss/GPT-SoVITS,2024-01-14T18:05:21Z,2025-08-19T20:06:00Z,Python,338,4,1890,1177
WerWolv/ImHex,2020-11-10T14:27:00Z,2025-08-19T20:06:05Z,C++,670,80,1416,1180
etcd-io/etcd,2013-07-06T21:57:21Z,2025-08-19T20:01:58Z,Go,9776,259,6998,6817
pocketbase/pocketbase,2022-07-05T06:06:21Z,2025-08-19T17:45:37Z,Go,53,220,1836,1818
firstcontributions/first-contributions,2016-09-20T14:35:09Z,2025-08-19T19:32:29Z,,86023,0,933,909
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,2025-08-19T19:24:35Z,JavaScript,137,1,211,92
jgthms/bulma,2016-01-23T23:48:34Z,2025-08-19T09:50:29Z,CSS,642,22,2723,2395
vsouza/awesome-ios,2014-07-10T16:03:45Z,2025-08-19T17:37:27Z,Swift,2233,0,488,486
ethereum/go-ethereum,2013-12-26T13:05:46Z,2025-08-19T20:01:59Z,Go,8240,219,8481,8277
cline/cline,2024-07-06T07:28:10Z,2025-08-19T18:57:56Z,TypeScript,1619,143,2214,1733
firecrawl/firecrawl,2024-04-15T21:02:29Z,2025-08-19T20:08:34Z,TypeScript,806,23,672,522
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,2025-08-19T16:34:55Z,JavaScript,1300,0,0,0
FoundationAgents/OpenManus,2025-03-06T14:08:14Z,2025-08-19T17:31:53Z,Python,106,3,705,312
agalwood/Motrix,2018-12-18T11:45:05Z,2025-08-19T18:58:58Z,JavaScript,192,21,1340,593
mastodon/mastodon,2016-02-22T15:01:25Z,2025-08-19T20:06:17Z,Ruby,17691,289,12246,8223
microsoft/autogen,2023-08-18T11:43:45Z,2025-08-19T18:40:46Z,Python,2498,97,2854,2462
cypress-io/cypress,2015-03-04T00:46:28Z,2025-08-19T20:06:52Z,TypeScript,7345,372,15058,13770
justjavac/awesome-wechat-weapp,2016-09-22T20:04:48Z,2025-08-19T15:38:56Z,,277,0,0,0
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,2025-08-19T18:04:07Z,JavaScript,63,0,88,53
Asabeneh/30-Days-Of-Python,2019-11-19T17:24:16Z,2025-08-19T18:57:00Z,Python,61,0,134,79
AlistGo/alist,2020-12-23T17:40:29Z,2025-08-19T20:13:03Z,Go,860,137,4342,3793
ReactiveX/RxJava,2013-01-08T20:11:48Z,2025-08-19T15:11:46Z,Java,3326,241,3171,3159
PowerShell/PowerShell,2016-01-13T23:41:35Z,2025-08-19T20:14:57Z,C#,7544,186,13016,11910
iamkun/dayjs,2018-04-10T09:26:44Z,2025-08-19T20:06:59Z,JavaScript,694,119,1771,849
dani-garcia/vaultwarden,2018-02-17T22:40:20Z,2025-08-19T19:48:43Z,Rust,992,73,2362,2353
Mintplex-Labs/anything-llm,2023-06-04T02:29:14Z,2025-08-19T20:07:04Z,JavaScript,1072,20,2746,2486
moment/moment,2011-03-01T02:46:06Z,2025-08-19T20:07:17Z,JavaScript,714,0,4154,3911
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,2025-08-19T20:07:35Z,,6,0,0,0
charlax/professional-programming,2015-11-07T05:07:52Z,2025-08-19T17:50:47Z,Python,39,0,29,29
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,2025-08-19T20:07:38Z,JavaScript,183,0,117,76
JuliaLang/julia,2011-04-21T07:01:50Z,2025-08-19T19:47:41Z,Julia,25801,181,25353,21376
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,2025-08-19T19:22:01Z,Roff,1,0,112,53
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,2025-08-19T20:07:51Z,Python,90,0,101,32
huginn/huginn,2013-03-10T06:00:31Z,2025-08-19T20:09:09Z,Ruby,1043,1,2170,1569
nlohmann/json,2013-07-04T08:47:49Z,2025-08-19T19:48:44Z,C++,894,45,2337,2297
serverless/serverless,2015-04-21T03:48:40Z,2025-08-19T20:07:54Z,JavaScript,4717,453,6516,5383
LadybirdBrowser/ladybird,2024-05-30T09:18:10Z,2025-08-19T20:08:59Z,C++,4213,0,1127,631
gogs/gogs,2014-02-12T01:57:08Z,2025-08-19T15:08:19Z,Go,1766,84,5158,4223
karan/Projects,2013-07-04T13:37:27Z,2025-08-19T19:28:22Z,,19,0,82,35
kamranahmedse/design-patterns-for-humans,2017-02-16T21:24:39Z,2025-08-19T15:34:36Z,,50,0,52,47
x64dbg/x64dbg,2015-04-11T20:48:23Z,2025-08-19T19:36:55Z,C++,744,3,2628,2023
square/okhttp,2012-07-23T13:42:55Z,2025-08-19T12:08:41Z,Kotlin,3762,0,4181,4132
typescript-cheatsheets/react,2018-06-02T04:08:16Z,2025-08-19T18:40:36Z,JavaScript,369,0,221,219
pandas-dev/pandas,2010-08-24T01:37:33Z,2025-08-19T17:52:13Z,Python,26909,111,27659,24076
TanStack/query,2019-09-10T19:23:58Z,2025-08-19T17:07:23Z,TypeScript,2893,1000,2165,2102
v2ray/v2ray-core,2015-09-04T11:42:53Z,2025-08-19T13:54:22Z,Go,203,247,2591,2583
type-challenges/type-challenges,2020-07-23T14:33:11Z,2025-08-19T18:02:49Z,TypeScript,588,0,36235,3842
hashicorp/terraform,2014-03-13T22:25:48Z,2025-08-19T19:36:55Z,Go,12782,377,21408,19672
dkhamsing/open-source-ios-apps,2015-01-26T23:32:34Z,2025-08-19T19:19:00Z,,1406,37,310,310
ziishaned/learn-regex,2017-07-22T12:21:03Z,2025-08-19T20:08:30Z,,131,0,87,35
lllyasviel/Fooocus,2023-08-09T18:43:40Z,2025-08-19T17:34:24Z,Python,447,21,1611,1399
slab/quill,2012-07-30T23:23:18Z,2025-08-19T15:47:57Z,TypeScript,381,95,3774,3267
lyswhut/lx-music-desktop,2019-08-14T14:31:08Z,2025-08-19T15:08:18Z,TypeScript,86,110,2189,1236
bigskysoftware/htmx,2020-04-13T16:17:51Z,2025-08-19T19:30:46Z,JavaScript,956,26,1571,1005
jesseduffield/lazydocker,2019-05-18T08:53:50Z,2025-08-19T19:04:50Z,Go,186,42,361,190
pixijs/pixijs,2013-01-21T22:40:50Z,2025-08-19T20:09:27Z,TypeScript,3677,293,5981,5742
kelseyhightower/kubernetes-the-hard-way,2016-07-07T14:15:27Z,2025-08-19T16:46:35Z,,73,0,428,415
android/architecture-samples,2016-02-05T13:42:07Z,2025-08-19T20:19:36Z,Kotlin,232,0,486,348
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,2025-08-19T19:50:45Z,Jupyter Notebook,28,0,203,78
brillout/awesome-react-components,2016-06-24T15:19:33Z,2025-08-19T19:34:30Z,,324,0,52,44
skylot/jadx,2013-03-18T17:08:21Z,2025-08-19T19:23:54Z,Java,577,31,1918,1527
odoo/odoo,2014-05-13T15:38:58Z,2025-08-19T19:56:30Z,Python,6181,0,18395,15107
jestjs/jest,2013-12-10T00:18:04Z,2025-08-19T20:10:30Z,TypeScript,5701,208,8116,7862
typst/typst,2019-09-24T21:41:56Z,2025-08-19T17:25:28Z,Rust,1816,22,3472,2566
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,2025-08-19T16:54:33Z,JavaScript,98,0,174,59
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,2025-08-19T20:10:37Z,CSS,1545,77,2887,2746
serhii-londar/open-source-mac-os-apps,2017-11-03T02:35:33Z,2025-08-19T16:35:57Z,,525,0,211,161
dbeaver/dbeaver,2015-10-21T08:26:28Z,2025-08-19T16:29:47Z,Java,6087,230,19345,16311
discourse/discourse,2013-01-12T00:25:55Z,2025-08-19T20:14:35Z,Ruby,30013,0,0,0
akullpp/awesome-java,2014-07-09T10:12:43Z,2025-08-19T17:11:36Z,,715,0,136,136
oobabooga/text-generation-webui,2022-12-21T04:17:37Z,2025-08-19T20:17:20Z,Python,1183,80,4001,1429
meteor/meteor,2012-01-19T01:58:17Z,2025-08-19T19:12:34Z,JavaScript,2534,0,9205,8947
dypsilon/frontend-dev-bookmarks,2013-06-22T13:23:55Z,2025-08-19T17:11:04Z,,129,1,107,82
Homebrew/brew,2016-03-06T05:08:38Z,2025-08-19T19:15:51Z,Ruby,12988,441,4794,4778
ultralytics/ultralytics,2022-09-11T16:39:45Z,2025-08-19T20:10:02Z,Python,3501,255,11644,11398
google/zx,2021-05-05T05:50:01Z,2025-08-19T19:49:43Z,JavaScript,546,95,489,476
coollabsio/coolify,2021-01-25T20:54:01Z,2025-08-19T19:07:30Z,PHP,1646,619,2792,2231
unslothai/unsloth,2023-11-29T16:50:09Z,2025-08-19T20:12:25Z,Python,478,16,2439,1725
termux/termux-app,2015-10-23T09:42:46Z,2025-08-19T20:11:57Z,Java,162,95,2923,2519
vercel/hyper,2016-07-01T06:01:21Z,2025-08-19T08:09:54Z,TypeScript,3291,88,3814,2872
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,2025-08-19T17:25:55Z,CSS,812,4,1211,964
2dust/v2rayNG,2019-05-15T02:15:31Z,2025-08-19T19:49:40Z,Kotlin,498,256,3415,3409
parcel-bundler/parcel,2017-08-07T16:36:47Z,2025-08-19T18:13:16Z,JavaScript,2591,48,5486,5009
run-llama/llama_index,2022-11-02T04:24:54Z,2025-08-19T18:29:34Z,Python,7001,404,6608,6381
DovAmir/awesome-design-patterns,2018-06-04T17:47:48Z,2025-08-19T16:36:06Z,,30,0,15,5
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,2025-08-19T07:40:54Z,Go,757,0,304,183
usememos/memos,2021-12-08T15:30:18Z,2025-08-19T20:17:27Z,Go,1796,80,2458,2435
acmesh-official/acme.sh,2015-12-26T12:56:33Z,2025-08-19T20:12:21Z,Shell,1422,44,3316,2239
karpathy/nanoGPT,2022-12-28T00:51:12Z,2025-08-19T19:54:43Z,Python,45,0,337,109
babel/babel,2014-09-28T13:38:23Z,2025-08-19T20:14:25Z,TypeScript,6282,442,8997,8401
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2025-08-19T15:47:57Z,Jupyter Notebook,88,0,237,70
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,2025-08-19T18:14:27Z,TypeScript,2070,585,4834,4761
square/retrofit,2010-09-06T21:39:43Z,2025-08-19T10:10:54Z,HTML,1184,4,2748,2621
microsoft/monaco-editor,2016-06-07T16:56:31Z,2025-08-19T18:31:47Z,JavaScript,467,91,3833,3153
jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,2025-08-19T15:11:46Z,Java,122,61,7564,7546
FuelLabs/fuels-rs,2021-10-31T22:33:54Z,2025-08-19T18:42:27Z,Rust,899,117,658,609
FuelLabs/fuels-ts,2021-09-03T18:11:03Z,2025-08-19T18:42:29Z,TypeScript,1969,154,1456,1398
prisma/prisma,2019-06-20T13:33:47Z,2025-08-19T20:16:52Z,TypeScript,6337,223,11352,9044
grpc/grpc,2014-12-08T18:58:53Z,2025-08-19T20:14:51Z,C++,20001,355,11792,11117
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,2025-08-19T15:20:50Z,JavaScript,169,0,96,59
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,2025-08-19T18:57:15Z,MDX,345,0,101,91
streamich/react-use,2018-10-27T10:16:05Z,2025-08-19T20:15:22Z,TypeScript,1532,256,597,244
Leaflet/Leaflet,2010-09-22T16:57:44Z,2025-08-19T19:14:19Z,JavaScript,3115,33,5278,4883
metabase/metabase,2015-02-02T19:25:47Z,2025-08-19T20:15:52Z,Clojure,33948,676,23034,19445
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,2025-08-19T18:37:44Z,TypeScript,14450,1000,16352,13774
pyenv/pyenv,2012-08-31T06:57:52Z,2025-08-19T20:17:24Z,Roff,974,132,1858,1805
GitSquared/edex-ui,2017-01-28T09:35:02Z,2025-08-19T19:36:08Z,JavaScript,399,29,559,553
sudheerj/reactjs-interview-questions,2018-05-31T17:17:01Z,2025-08-19T19:35:31Z,JavaScript,162,0,110,107
FlowiseAI/Flowise,2023-03-31T12:23:09Z,2025-08-19T19:59:31Z,TypeScript,1329,73,2241,1629
jellyfin/jellyfin,2018-12-09T06:36:45Z,2025-08-19T20:08:00Z,C#,4816,91,7269,6880
expo/expo,2016-08-15T17:14:25Z,2025-08-19T20:10:51Z,TypeScript,17880,0,16952,16521
ggml-org/whisper.cpp,2022-09-25T18:26:37Z,2025-08-19T19:58:00Z,C++,863,27,1747,832
Unitech/pm2,2013-05-21T03:25:25Z,2025-08-19T20:17:32Z,JavaScript,551,128,5079,4078
coreybutler/nvm-windows,2014-09-20T16:37:28Z,2025-08-19T20:17:50Z,Go,107,23,926,847
ClickHouse/ClickHouse,2016-06-02T08:28:18Z,2025-08-19T19:39:54Z,C++,50346,672,24959,20527
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,2025-08-19T19:01:51Z,,225,0,73,55
opendatalab/MinerU,2024-02-29T08:52:34Z,2025-08-19T20:19:40Z,Python,1025,121,1671,1540
alex/what-happens-when,2013-11-07T04:30:06Z,2025-08-19T20:17:36Z,,108,0,292,53
coqui-ai/TTS,2020-05-20T15:45:28Z,2025-08-19T20:18:21Z,Python,465,98,1189,1185
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,2025-08-19T19:37:06Z,Jupyter Notebook,147,0,74,58
Alamofire/Alamofire,2014-07-31T05:56:19Z,2025-08-19T18:29:45Z,Swift,650,102,2799,2757
faif/python-patterns,2012-06-06T21:02:35Z,2025-08-19T14:55:45Z,Python,273,0,93,83
Light-City/CPlusPlusThings,2019-07-14T08:45:45Z,2025-08-19T16:22:08Z,C++,72,0,228,218
getsentry/sentry,2010-08-30T22:06:41Z,2025-08-19T17:52:32Z,Python,72698,154,15725,13585
astral-sh/ruff,2022-08-09T17:17:44Z,2025-08-19T19:45:51Z,Rust,11148,375,7119,5615
apache/spark,2014-02-25T08:00:08Z,2025-08-19T16:37:49Z,Scala,8,0,0,0
apache/airflow,2015-04-13T18:04:58Z,2025-08-19T20:04:39Z,Python,29250,102,12412,11128
iina/iina,2016-12-19T07:18:45Z,2025-08-19T19:21:58Z,Swift,851,45,4185,2427
Stability-AI/stablediffusion,2022-11-23T23:59:50Z,2025-08-19T20:18:25Z,Python,17,0,324,76
Kong/kong,2014-11-17T23:56:08Z,2025-08-19T20:18:27Z,Lua,6478,145,4557,4485
yarnpkg/yarn,2016-01-19T17:39:16Z,2025-08-19T18:59:26Z,JavaScript,1654,152,6606,4731
NaiboWang/EasySpider,2020-07-18T02:41:27Z,2025-08-19T16:56:31Z,JavaScript,40,10,709,485
freqtrade/freqtrade,2017-05-17T23:48:53Z,2025-08-19T19:42:05Z,Python,5893,100,5328,5301
spf13/cobra,2013-09-03T20:40:26Z,2025-08-19T17:36:48Z,Go,614,24,1211,986
tldraw/tldraw,2021-05-09T11:48:37Z,2025-08-19T18:56:13Z,TypeScript,3545,79,1737,1514
mingrammer/diagrams,2020-02-02T15:23:24Z,2025-08-19T19:43:03Z,Python,328,44,532,222
nolimits4web/swiper,2012-03-14T19:11:45Z,2025-08-19T07:30:36Z,JavaScript,604,87,5751,5537
apachecn/ailearning,2017-02-25T08:53:02Z,2025-08-19T14:55:07Z,Python,478,2,115,112
apache/dubbo,2012-06-19T07:56:02Z,2025-08-19T16:56:28Z,Java,5785,111,7274,6472
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,2025-08-19T06:17:59Z,Vue,21,0,630,512
bevyengine/bevy,2020-01-18T21:13:55Z,2025-08-19T18:39:51Z,Rust,6177,43,7196,4821
zai-org/ChatGLM-6B,2023-03-13T12:00:18Z,2025-08-19T17:31:37Z,Python,48,0,1308,751
hpcaitech/ColossalAI,2021-10-28T16:19:44Z,2025-08-19T09:37:50Z,Python,3699,50,1725,1298
tw93/Pake,2022-10-14T09:32:57Z,2025-08-19T17:31:33Z,Rust,100,31,400,352
dcloudio/uni-app,2018-07-12T08:52:39Z,2025-08-19T12:06:06Z,JavaScript,457,0,4919,4230
nwjs/nw.js,2012-01-04T06:21:10Z,2025-08-19T20:18:39Z,JavaScript,575,0,7398,6477
AykutSarac/jsoncrack.com,2022-01-30T15:25:18Z,2025-08-19T19:11:23Z,TypeScript,85,22,266,234
KRTirtho/spotube,2021-02-14T03:17:58Z,2025-08-19T18:38:23Z,Dart,246,40,1863,1082
streamlit/streamlit,2019-08-24T00:14:52Z,2025-08-19T20:18:40Z,Python,5651,105,5388,4275
styled-components/styled-components,2016-08-16T06:41:32Z,2025-08-19T20:18:43Z,TypeScript,966,176,2953,2651
docker/awesome-compose,2020-02-13T08:51:42Z,2025-08-19T18:39:19Z,HTML,149,0,127,40
psf/black,2018-03-14T19:54:45Z,2025-08-19T20:08:17Z,Python,1585,46,2722,2393
vuetifyjs/vuetify,2016-09-12T00:39:35Z,2025-08-19T19:44:22Z,TypeScript,4387,605,14896,14395
hexojs/hexo,2012-09-23T15:17:08Z,2025-08-19T20:18:46Z,TypeScript,945,114,3985,3912
ziglang/zig,2015-08-06T00:51:28Z,2025-08-19T19:24:33Z,Zig,9166,20,13076,9692
zhongyang219/TrafficMonitor,2017-07-30T02:51:17Z,2025-08-19T16:56:44Z,C++,63,26,1883,712
fastlane/fastlane,2014-12-02T17:00:38Z,2025-08-19T20:02:43Z,Ruby,6234,552,13184,12500
cli/cli,2019-10-03T15:24:53Z,2025-08-19T20:18:45Z,Go,2600,173,5130,4295
bannedbook/fanqiang,2015-01-14T00:34:25Z,2025-08-19T17:33:21Z,Kotlin,3,3,794,466
mitmproxy/mitmproxy,2010-02-16T04:10:13Z,2025-08-19T19:12:40Z,Python,2631,76,3559,3227
SimplifyJobs/Summer2026-Internships,2020-05-23T20:53:18Z,2025-08-19T20:06:59Z,,1673,0,3533,3529
1c7/chinese-independent-developer,2017-09-21T11:08:23Z,2025-08-19T20:02:03Z,,312,0,199,198
dylanaraps/pure-bash-bible,2018-06-13T01:39:33Z,2025-08-19T19:57:48Z,Shell,28,0,77,33
tabler/tabler,2018-02-01T09:08:59Z,2025-08-19T20:20:11Z,HTML,722,51,1090,1004
chubin/cheat.sh,2017-05-07T21:40:56Z,2025-08-19T00:55:54Z,Python,129,0,258,133
LC044/WeChatMsg,2023-01-11T05:03:49Z,2025-08-19T09:50:30Z,,62,0,0,0
deepspeedai/DeepSpeed,2020-01-23T18:35:18Z,2025-08-19T15:00:37Z,Python,2744,97,3173,2081
GitHubDaily/GitHubDaily,2018-12-30T13:56:58Z,2025-08-19T20:21:29Z,,3,0,573,176
microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,2025-08-19T17:08:44Z,Jupyter Notebook,168,0,134,106
penpot/penpot,2015-12-29T22:09:07Z,2025-08-19T20:07:25Z,Clojure,4501,59,1917,1429
colinhacks/zod,2020-03-07T20:59:08Z,2025-08-19T17:26:36Z,TypeScript,833,179,2697,2499
bradtraversy/50projects50days,2020-11-16T14:39:01Z,2025-08-19T16:53:14Z,CSS,44,0,0,0
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,2025-08-19T16:06:19Z,TypeScript,2808,1000,4146,4146
